
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005527                       # Number of seconds simulated (Second)
simTicks                                   5526546500                       # Number of ticks simulated (Tick)
finalTick                                  5526546500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    100.68                       # Real time elapsed on the host (Second)
hostTickRate                                 54889636                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8590456                       # Number of bytes of host memory used (Byte)
simInsts                                     12961815                       # Number of instructions simulated (Count)
simOps                                       24681788                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   128737                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     245139                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11053094                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29262442                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    65886                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27723485                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  50940                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4646525                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6886246                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               37031                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10903324                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.542664                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.497444                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3871395     35.51%     35.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1080289      9.91%     45.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    978167      8.97%     54.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1095406     10.05%     64.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    975934      8.95%     73.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1005955      9.23%     82.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1030780      9.45%     92.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    640731      5.88%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    224667      2.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10903324                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  861980     95.08%     95.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.08% # attempts to use FU when none available (Count)
