
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005275                       # Number of seconds simulated (Second)
simTicks                                   5274671500                       # Number of ticks simulated (Tick)
finalTick                                  5274671500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     98.50                       # Real time elapsed on the host (Second)
hostTickRate                                 53551904                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8590456                       # Number of bytes of host memory used (Byte)
simInsts                                     12961827                       # Number of instructions simulated (Count)
simOps                                       24681809                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   131597                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250585                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10549344                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29058931                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    65627                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27577082                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  47507                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4442734                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6629106                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               36772                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10397720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.652224                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.491001                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3456241     33.24%     33.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1010560      9.72%     42.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    926647      8.91%     51.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1138400     10.95%     62.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    945446      9.09%     71.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1045243     10.05%     81.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1049096     10.09%     92.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    613243      5.90%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    212844      2.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10397720                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  841302     95.12%     95.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.12% # attempts to use FU when none available (Count)
