
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004969                       # Number of seconds simulated (Second)
simTicks                                   4968558500                       # Number of ticks simulated (Tick)
finalTick                                  4968558500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     95.52                       # Real time elapsed on the host (Second)
hostTickRate                                 52015998                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8590456                       # Number of bytes of host memory used (Byte)
simInsts                                     12961819                       # Number of instructions simulated (Count)
simOps                                       24681799                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   135698                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     258394                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9937118                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28784463                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    63294                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27339847                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44620                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4165943                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6197937                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               34439                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9777401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.796228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.511192                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3050683     31.20%     31.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    891165      9.11%     40.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    858173      8.78%     49.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1104729     11.30%     60.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    918248      9.39%     69.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1052045     10.76%     80.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1052059     10.76%     91.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    629814      6.44%     97.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    220485      2.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9777401                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  840898     96.26%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.26% # attempts to use FU when none available (Count)
