
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006916                       # Number of seconds simulated (Second)
simTicks                                   6915696000                       # Number of ticks simulated (Tick)
finalTick                                  6915696000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    916.93                       # Real time elapsed on the host (Second)
hostTickRate                                  7542262                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8902004                       # Number of bytes of host memory used (Byte)
simInsts                                     26186686                       # Number of instructions simulated (Count)
simOps                                       49975448                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28559                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      54503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        13831393                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       29607617                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   69237                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      28065430                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                107182                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4689115                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          6520705                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              40076                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           13528347                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.074565                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.574578                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  6962598     51.47%     51.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   822188      6.08%     57.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   735667      5.44%     62.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1044247      7.72%     70.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   766459      5.67%     76.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   898478      6.64%     83.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1260421      9.32%     92.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   787897      5.82%     98.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   250392      1.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             13528347                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1236413     97.09%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     1      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   133      0.01%     97.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     97.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                  1013      0.08%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   14      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                  17      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     97.18% # attempts to use FU when none available (Count)
