
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007516                       # Number of seconds simulated (Second)
simTicks                                   7516380000                       # Number of ticks simulated (Tick)
finalTick                                  7516380000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1859.98                       # Real time elapsed on the host (Second)
hostTickRate                                  4041103                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9097212                       # Number of bytes of host memory used (Byte)
simInsts                                     52374321                       # Number of instructions simulated (Count)
simOps                                       99952730                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28158                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53738                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        15032761                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       29773364                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   70145                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      28213247                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                111186                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4855310                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          6685964                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              40984                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           14719862                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.916679                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.536840                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8109252     55.09%     55.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   845440      5.74%     60.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   743255      5.05%     65.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1047343      7.12%     73.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   763683      5.19%     78.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   891099      6.05%     84.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1268944      8.62%     92.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   791391      5.38%     98.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   259455      1.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             14719862                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1243323     96.98%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    2      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     1      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     96.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   132      0.01%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                  1016      0.08%     97.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   15      0.00%     97.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     97.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     97.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                  20      0.00%     97.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     97.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     97.07% # attempts to use FU when none available (Count)
