
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006653                       # Number of seconds simulated (Second)
simTicks                                   6652976000                       # Number of ticks simulated (Tick)
finalTick                                  6652976000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    413.18                       # Real time elapsed on the host (Second)
hostTickRate                                 16101914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8807452                       # Number of bytes of host memory used (Byte)
simInsts                                     13093343                       # Number of instructions simulated (Count)
simOps                                       24987724                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31689                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      60476                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         13305953                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29560398                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    68350                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       28029440                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 107616                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4641009                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6457462                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               39189                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            13011828                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.154151                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.597585                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6500968     49.96%     49.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    784941      6.03%     55.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    719560      5.53%     61.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1033882      7.95%     69.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    767343      5.90%     75.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    895892      6.89%     82.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1263691      9.71%     91.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    791653      6.08%     98.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    253898      1.95%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              13011828                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1239435     97.12%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     97.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    128      0.01%     97.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     97.13% # attempts to use FU when none available (Count)
