
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007978                       # Number of seconds simulated (Second)
simTicks                                   7977571000                       # Number of ticks simulated (Tick)
finalTick                                  7977571000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1875.80                       # Real time elapsed on the host (Second)
hostTickRate                                  4252886                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9094268                       # Number of bytes of host memory used (Byte)
simInsts                                     52374392                       # Number of instructions simulated (Count)
simOps                                       99952842                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    27921                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53285                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        15859672                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       29785399                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   70121                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      28217094                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                110863                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4867318                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          6707182                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              40961                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           15537709                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.816040                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.510002                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8948388     57.59%     57.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   832504      5.36%     62.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   736517      4.74%     67.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1039664      6.69%     74.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   761897      4.90%     79.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   888704      5.72%     85.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1274624      8.20%     93.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   789576      5.08%     98.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   265835      1.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             15537709                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1241897     97.02%     97.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     97.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     97.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     97.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     97.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     97.02% # attempts to use FU when none available (Count)
