
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006917                       # Number of seconds simulated (Second)
simTicks                                   6916981000                       # Number of ticks simulated (Tick)
finalTick                                  6916981000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    861.02                       # Real time elapsed on the host (Second)
hostTickRate                                  8033479                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8893552                       # Number of bytes of host memory used (Byte)
simInsts                                     26186696                       # Number of instructions simulated (Count)
simOps                                       49975475                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30413                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      58042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        13833963                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       29608981                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   69127                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      28067218                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                107152                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4690364                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          6519417                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              39966                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           13533200                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.073953                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.574642                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  6968346     51.49%     51.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   821427      6.07%     57.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   734991      5.43%     62.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1043923      7.71%     70.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   767024      5.67%     76.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   897807      6.63%     83.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1261500      9.32%     92.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   787547      5.82%     98.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   250635      1.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             13533200                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1236013     97.09%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    3      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     1      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     97.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   126      0.01%     97.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     97.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                   953      0.07%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   13      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                  17      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     97.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     97.18% # attempts to use FU when none available (Count)
